stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
401738,"2 AV/E 125 ST",,  40.802494, -73.933891,,,0,
401739,"2 AV/E 122 ST",,  40.800591, -73.935287,,,0,
401740,"2 AV/E 119 ST",,  40.798695, -73.936668,,,0,
401741,"2 AV/E 116 ST",,  40.796745, -73.938095,,,0,
401742,"2 AV/E 113 ST",,  40.794853, -73.939499,,,0,
401743,"2 AV/E 110 ST",,  40.792965, -73.940849,,,0,
401744,"2 AV/E 108 ST",,  40.791706, -73.941795,,,0,
401745,"2 AV/E 106 ST",,  40.790352, -73.942764,,,0,
401747,"2 AV/E 101 ST",,  40.787384, -73.944962,,,0,
401749,"2 AV/E 96 ST",,  40.783901, -73.947472,,,0,
401753,"2 AV/E 86 ST",,  40.777573, -73.952095,,,0,
401754,"2 AV/E 84 ST",,  40.776325, -73.953011,,,0,
401755,"2 AV/E 82 ST",,  40.775082, -73.953918,,,0,
401756,"2 AV/E 79 ST",,  40.773067, -73.955383,,,0,
401758,"2 AV/E 75 ST",,  40.770836, -73.956970,,,0,
401759,"2 AV/E 72 ST",,  40.768734, -73.958504,,,0,
401760,"2 AV/E 71 ST",,  40.767883, -73.959122,,,0,
401761,"2 AV/E 68 ST",,  40.766014, -73.960526,,,0,
401762,"2 AV/E 66 ST",,  40.764698, -73.961517,,,0,
401763,"2 AV/E 64 ST",,  40.763496, -73.962372,,,0,
401764,"2 AV/E 61 ST",,  40.761551, -73.963806,,,0,
401765,"2 AV/E 57 ST",,  40.759022, -73.965652,,,0,
401768,"2 AV/E 50 ST",,  40.754646, -73.968842,,,0,
401769,"2 AV/E 46 ST",,  40.752502, -73.970398,,,0,
401771,"2 AV/E 42 ST",,  40.749527, -73.972572,,,0,
401772,"2 AV/E 39 ST",,  40.747662, -73.973930,,,0,
401774,"2 AV/E 34 ST",,  40.744507, -73.976234,,,0,
401775,"2 AV/E 31 ST",,  40.742668, -73.977577,,,0,
401778,"2 AV/E 25 ST",,  40.738953, -73.980278,,,0,
401779,"2 AV/E 23 ST",,  40.737549, -73.981277,,,0,
401780,"2 AV/E 20 ST",,  40.735783, -73.982567,,,0,
401781,"2 AV/E 17 ST",,  40.734028, -73.983841,,,0,
401782,"2 AV/E 14 ST",,  40.732513, -73.984940,,,0,
401784,"2 AV/E 9 ST",,  40.728912, -73.987572,,,0,
401785,"2 AV/E 6 ST",,  40.727184, -73.988823,,,0,
401786,"2 AV/E 3 ST",,  40.725368, -73.990150,,,0,
401787,"E HOUSTON ST/2 AV",,  40.723377, -73.990631,,,0,
401791,"ALLEN ST/GRAND ST",,  40.717144, -73.991661,,,0,
401793,"ALLEN ST/CANAL ST",,  40.714863, -73.992836,,,0,
401797,"PEARL ST/FRANKFORT ST",,  40.709400, -74.001915,,,0,
401800,"WATER ST/MAIDEN LA",,  40.706055, -74.006317,,,0,
401802,"WATER ST/HANOVER SQ",,  40.703896, -74.009445,,,0,
401806,"WORTH ST/CENTRE ST",,  40.715389, -74.002480,,,0,
401808,"CENTRE ST/CHAMBERS ST",,  40.713272, -74.004028,,,0,
401811,"12 AV/W 42 ST",,  40.761772, -74.001228,,,0,
401812,"W 42 ST/12 AV",,  40.761833, -74.001007,,,0,
401813,"W 42 ST/11 AV",,  40.760544, -73.997925,,,0,
401814,"W 42 ST/10 AV",,  40.759357, -73.995079,,,0,
401818,"W 34 ST/9 AV",,  40.753105, -73.995857,,,0,
401819,"W 34 ST/8 AV",,  40.751987, -73.993309,,,0,
401821,"W 34 ST/BROADWAY",,  40.749626, -73.987617,,,0,
401822,"E 34 ST/5 AV",,  40.748188, -73.984184,,,0,
401824,"E 34 ST/PARK AV",,  40.746796, -73.980888,,,0,
401826,"E 34 ST/3 AV",,  40.745445, -73.977715,,,0,
